City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
643,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
644,Sampit,ID,81.16,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
649,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
652,Xique-Xique,BR,78.93,few clouds,-10.8218,-42.7263,Hotel J. Macedo
659,Soyo,AO,79.95,scattered clouds,-6.1349,12.3689,Hotel Mpampa
662,Kinablangan,PH,83.32,overcast clouds,7.6947,126.5503,Danny Moreno Property
664,Kailua,US,80.6,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
665,Bom Jesus,BR,75.38,light rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
673,Omboue,GA,79.0,moderate rain,-1.5746,9.2618,Hotel Olako
676,Pare,ID,79.2,overcast clouds,-7.7679,112.198,OYO 3012 Coupis Guesthouse
681,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
682,Labuhan,ID,80.26,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
688,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Base Lodging
691,Ugoofaaru,MV,80.31,overcast clouds,5.6667,73.0,Ungoofaaru Inn
