City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Laguna,US,38.421,-121.4238,60.8,55,20,3.44,few clouds
173,Khatanga,RU,71.9667,102.5,-26.03,86,100,7.78,overcast clouds
174,La Ronge,CA,55.1001,-105.2842,-16.6,63,31,1.14,scattered clouds
175,Viravanallur,IN,8.7,77.5333,69.06,79,97,3.67,overcast clouds
176,Pangnirtung,CA,66.1451,-65.7125,-18.99,82,99,0.63,overcast clouds
177,Port Hardy,CA,50.6996,-127.4199,35.6,47,90,31.07,light snow
178,Hadejia,NG,12.4498,10.0444,68.09,22,0,7.63,clear sky
179,Isangel,VU,-19.55,169.2667,82.4,78,75,6.17,broken clouds
180,Puerto Ayora,EC,-0.7393,-90.3518,75.99,96,77,5.01,light rain
181,Vanimo,PG,-2.6741,141.3028,76.86,88,100,4.88,overcast clouds
182,Santa Luzia,BR,-19.7697,-43.8514,71.6,88,0,8.05,clear sky
183,Kaniama,CD,-7.5667,24.1833,65.12,95,99,0.56,overcast clouds
184,Jashpurnagar,IN,22.9,84.15,55.42,39,98,3.91,overcast clouds
185,Dunedin,NZ,-45.8742,170.5036,62.01,77,58,21.99,broken clouds
186,Trincomalee,LK,8.5711,81.2335,77.31,85,38,10.33,scattered clouds
187,Yatou,CN,37.15,122.3833,48.22,65,0,4.9,clear sky
188,Bereda,ES,43.2686,-7.5406,46.0,90,100,5.01,overcast clouds
189,Qui Nhon,VN,13.7667,109.2333,67.64,76,3,8.1,clear sky
190,Hasaki,JP,35.7333,140.8333,48.0,70,20,5.75,few clouds
191,Nome,US,64.5011,-165.4064,28.4,74,90,21.85,light snow
192,Geraldton,AU,-28.7667,114.6,89.6,27,100,12.66,overcast clouds
193,Alofi,NU,-19.0595,-169.9187,86.0,74,76,10.36,broken clouds
194,Okhotsk,RU,59.3833,143.3,15.26,93,100,4.52,overcast clouds
195,Bethel,US,41.3712,-73.414,28.4,28,90,4.61,overcast clouds
196,Raga,SS,8.4596,25.678,66.4,28,0,1.57,clear sky
197,Leningradskiy,RU,69.3833,178.4167,-18.08,84,100,8.08,overcast clouds
198,Larisa,GR,39.6372,22.4203,37.4,60,40,5.5,scattered clouds
199,Kodiak,US,57.79,-152.4072,33.8,80,90,16.11,light snow
200,Esperance,AU,-33.8667,121.9,64.4,72,0,8.05,clear sky
201,Sola,VU,-13.8833,167.55,89.6,70,75,10.42,broken clouds
202,Saint-Germain-De-Grantham,CA,45.8334,-72.5658,0.0,73,98,1.01,overcast clouds
203,Provideniya,RU,64.3833,-173.3,-0.35,89,100,30.4,light snow
204,Bethanien,NA,-26.502,17.1583,72.64,55,73,6.31,broken clouds
205,Nemuro,JP,43.3236,145.575,19.4,73,75,2.3,broken clouds
206,Lashio,MM,22.9333,97.75,55.04,69,0,1.41,clear sky
207,Tohana,IN,29.7,75.9,55.22,41,100,1.34,overcast clouds
208,Pevek,RU,69.7008,170.3133,-19.32,89,100,6.44,overcast clouds
209,Godda,IN,24.8333,87.2167,56.61,65,0,2.15,clear sky
210,Emba,KZ,48.8264,58.1442,21.58,94,71,8.25,broken clouds
211,Bengkulu,ID,-3.8004,102.2655,80.65,75,68,3.4,broken clouds
212,Mogadishu,SO,2.0371,45.3438,75.81,82,19,18.19,few clouds
213,Thunder Bay,CA,48.4001,-89.3168,-4.0,54,1,5.75,clear sky
214,Klaksvik,FO,62.2266,-6.589,37.4,60,75,21.85,broken clouds
215,Chillan,CL,-36.6066,-72.1034,77.0,50,40,6.91,scattered clouds
216,Quthing,LS,-30.4,27.7003,63.91,53,0,2.17,clear sky
217,Yasnyy,RU,51.0333,59.8742,20.61,96,0,8.59,clear sky
218,Kandrian,PG,-6.2167,149.55,87.96,61,99,3.98,light rain
219,Fuerte Olimpo,PY,-21.0415,-57.8738,78.93,62,56,0.98,broken clouds
220,Lapua,FI,62.9693,23.0088,26.01,90,90,1.99,overcast clouds
221,Kolpashevo,RU,58.3131,82.9089,-20.06,87,100,5.37,overcast clouds
222,Codrington,AU,-38.2667,141.9667,64.96,54,0,10.67,clear sky
223,Miraflores,MX,19.2167,-98.8083,66.0,17,40,16.11,scattered clouds
224,Carlisle,US,40.2015,-77.1889,28.4,43,90,5.75,overcast clouds
225,Sept-Iles,CA,50.2001,-66.3821,19.4,58,90,4.61,overcast clouds
226,Hovd,MN,48.0056,91.6419,3.27,90,0,1.34,clear sky
227,Jalu,LY,29.0331,21.5482,51.04,74,0,6.22,clear sky
228,Kem,RU,64.9555,34.5793,4.84,94,97,7.25,overcast clouds
229,Pandan,PH,14.0453,124.1694,79.05,83,65,11.61,broken clouds
230,Husavik,IS,66.0449,-17.3389,35.6,69,0,14.97,clear sky
231,Chernyshevskiy,RU,63.0128,112.4714,-26.21,86,70,3.98,broken clouds
232,Dingle,PH,10.9995,122.6711,81.61,79,53,4.83,light rain
233,Manta,EC,-0.95,-80.7333,80.6,83,40,9.22,scattered clouds
234,Mabaruma,GY,8.2,-59.7833,74.1,89,100,3.85,overcast clouds
235,Yelnya,RU,54.5786,33.1837,7.11,94,100,21.05,snow
236,Honningsvag,NO,70.9821,25.9704,12.2,79,0,16.11,light snow
237,Laurel,US,39.0993,-76.8483,30.2,74,90,3.44,overcast clouds
238,Tessalit,ML,20.1986,1.0114,69.26,19,0,11.39,clear sky
239,Havelock,US,34.8791,-76.9013,41.0,93,90,13.8,mist
240,Ribeira Grande,PT,38.5167,-28.7,60.55,78,100,27.85,overcast clouds
241,Puerto Escondido,MX,15.85,-97.0667,80.6,83,40,9.22,scattered clouds
242,Aksu,CN,41.1231,80.2644,27.55,90,26,1.43,scattered clouds
243,Chancay,PE,-11.5714,-77.2672,77.0,69,0,10.36,clear sky
244,Mehamn,NO,71.0357,27.8492,12.2,79,0,16.11,clear sky
245,Kokopo,PG,-4.352,152.2633,85.46,69,100,9.82,light rain
246,Juneau,US,58.3019,-134.4197,35.6,38,1,19.57,clear sky
247,Walvis Bay,NA,-22.9575,14.5053,69.01,83,26,8.05,scattered clouds
248,Namibe,AO,-15.1961,12.1522,73.27,75,22,0.94,few clouds
249,Mindelo,CV,16.8901,-24.9804,69.8,73,75,21.85,broken clouds
250,Mineiros,BR,-17.5694,-52.5511,68.58,94,100,3.27,overcast clouds
251,Aklavik,CA,68.2191,-135.0107,-7.6,71,40,2.3,scattered clouds
252,Bensonville,LR,6.4461,-10.6125,77.31,95,17,3.94,few clouds
253,Umm Lajj,SA,25.0213,37.2685,74.68,66,0,11.41,clear sky
254,Gravelbourg,CA,49.8834,-106.5512,-16.6,63,92,6.91,overcast clouds
255,Hibbing,US,47.4272,-92.9377,-16.6,52,1,3.44,clear sky
256,Port Blair,IN,11.6667,92.75,78.69,76,100,8.7,overcast clouds
257,Cootamundra,AU,-34.65,148.0333,75.99,64,0,5.99,clear sky
258,Henties Bay,NA,-22.116,14.2845,69.01,90,53,4.0,broken clouds
259,Varnamo,SE,57.186,14.04,10.4,92,0,3.44,clear sky
260,Xinyu,CN,27.8043,114.9334,55.27,86,25,3.76,scattered clouds
261,Nantucket,US,41.2835,-70.0995,24.8,68,90,3.67,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,64.4,82,0,9.22,clear sky
263,Catio,GW,11.2833,-15.25,71.06,76,0,3.96,clear sky
264,Amurzet,RU,47.6967,131.0981,20.8,94,24,1.59,few clouds
265,Bubaque,GW,11.2833,-15.8333,78.62,62,0,11.43,clear sky
266,Ushumun,RU,52.7833,126.5333,6.22,91,0,10.22,clear sky
267,Korla,CN,41.7597,86.1469,32.18,86,22,6.24,few clouds
268,Kulhudhuffushi,MV,6.6221,73.07,80.01,63,100,5.61,overcast clouds
269,Bestobe,KZ,52.4994,73.0975,2.46,94,55,6.93,broken clouds
270,Ialibu,PG,-6.2821,143.9935,64.08,83,100,1.45,overcast clouds
271,Bonfim,BR,3.0833,-59.95,81.54,65,100,13.8,overcast clouds
272,Mahon,ES,39.8885,4.2658,55.78,83,100,20.67,overcast clouds
273,Kirakira,SB,-10.4544,161.9205,82.67,81,100,12.62,overcast clouds
274,Andros,GR,37.8333,24.9333,54.0,65,91,1.01,overcast clouds
275,Cherskiy,RU,68.75,161.3,-21.01,82,0,1.59,clear sky
276,Vaitape,PF,-16.5167,-151.75,81.55,75,9,11.72,moderate rain
277,Shimoda,JP,34.6667,138.95,53.6,82,40,9.22,scattered clouds
278,Bonavista,CA,48.6499,-53.1147,30.99,93,100,11.5,light snow
279,Carahue,CL,-38.7,-73.1667,60.8,72,0,9.22,clear sky
280,Oranjemund,NA,-28.55,16.4333,63.34,91,93,9.71,overcast clouds
281,Whitehorse,CA,60.7161,-135.0538,-2.99,65,1,3.53,clear sky
282,Port Augusta,AU,-32.5,137.7667,71.01,60,90,12.66,overcast clouds
283,Bahia Blanca,AR,-38.7196,-62.2724,75.15,65,92,9.28,overcast clouds
284,Oktyabrskiy,RU,54.4815,53.471,34.63,94,100,8.79,overcast clouds
285,Newport,GB,51.5877,-2.9984,28.99,76,100,16.8,overcast clouds
286,Rivers,CA,50.0308,-100.2403,-22.0,69,40,4.61,scattered clouds
287,Biak,ID,-0.9131,122.8766,77.68,86,100,10.58,overcast clouds
288,Fez,MA,34.0372,-4.9998,48.2,93,20,6.91,few clouds
289,Macenta,GN,8.5435,-9.471,71.13,49,0,2.17,clear sky
290,West Bend,US,43.4253,-88.1834,5.0,63,100,5.01,overcast clouds
291,Inhambane,MZ,-23.865,35.3833,79.05,87,20,10.63,light rain
292,Jiutai,CN,44.1525,125.8328,24.8,86,92,6.71,mist
293,Qinhuangdao,CN,39.9317,119.5883,40.86,77,100,3.6,overcast clouds
294,Randfontein,ZA,-26.1844,27.702,66.0,83,18,4.72,few clouds
295,San Carlos,VE,9.6612,-68.5827,82.53,51,95,3.91,overcast clouds
296,Labytnangi,RU,66.6572,66.4183,-25.04,86,97,2.33,overcast clouds
297,New Norfolk,AU,-42.7826,147.0587,69.01,53,99,4.0,overcast clouds
298,Tongchuan,CN,35.0806,109.0897,48.25,51,100,2.53,overcast clouds
299,Kavaratti,IN,10.5669,72.642,80.85,63,82,6.04,broken clouds
300,Natal,BR,-5.795,-35.2094,80.6,78,0,8.05,clear sky
301,Kaitangata,NZ,-46.2817,169.8464,63.0,71,72,5.99,broken clouds
302,Teguldet,RU,57.3064,88.1667,-21.28,86,100,5.32,overcast clouds
303,Thinadhoo,MV,0.5333,72.9333,82.45,67,100,10.65,overcast clouds
304,Pizarro,CO,4.9533,-77.366,77.76,87,72,4.12,light rain
305,Ambilobe,MG,-13.2,49.05,73.22,94,92,2.64,overcast clouds
306,Gushikawa,JP,26.3544,127.8686,68.0,94,40,10.36,scattered clouds
307,Nkhata Bay,MW,-11.6066,34.2907,76.89,66,100,6.78,light rain
308,Alice Springs,AU,-23.7,133.8833,68.0,94,90,9.22,overcast clouds
309,Kumluca,TR,36.3703,30.2869,55.33,50,0,1.92,clear sky
310,Kiruna,SE,67.8557,20.2251,12.2,85,20,5.75,few clouds
311,Ossora,RU,59.2353,163.0719,0.88,82,0,12.97,clear sky
312,Fukue,JP,32.6881,128.8419,59.0,67,75,8.05,broken clouds
313,San Cristobal,VE,7.7669,-72.225,67.55,73,66,0.74,broken clouds
314,Lompoc,US,34.6391,-120.4579,57.2,67,1,17.27,clear sky
315,Shellbrook,CA,53.2168,-106.4011,-16.6,63,20,5.75,few clouds
316,Mareeba,AU,-17.0,145.4333,86.0,70,90,4.61,overcast clouds
317,Pontal Do Parana,BR,-25.6533,-48.5128,64.0,87,100,1.01,overcast clouds
318,Fruitvale,US,39.0817,-108.4968,48.99,66,90,5.75,overcast clouds
319,Umm Kaddadah,SD,13.6017,26.6876,71.73,22,0,18.41,clear sky
320,Garden City,US,42.3256,-83.331,23.0,74,90,3.44,light snow
321,Benton Harbor,US,42.1167,-86.4542,23.0,80,90,6.91,light snow
322,Lodja,CD,-3.4833,23.4333,70.16,95,100,1.41,light rain
323,Nanortalik,GL,60.1432,-45.2371,35.47,79,100,10.63,overcast clouds
324,Cidreira,BR,-30.1811,-50.2056,75.65,80,100,15.28,overcast clouds
325,Sobolevo,RU,54.4299,31.8996,8.46,94,100,22.64,snow
326,Orlik,RU,52.5178,99.825,-20.42,73,100,1.88,overcast clouds
327,Tashtagol,RU,52.7657,87.8894,-10.28,88,74,1.88,broken clouds
328,Pingliang,CN,35.5392,106.6861,42.17,61,100,3.4,overcast clouds
329,Naryan-Mar,RU,67.6713,53.087,-15.61,87,80,0.74,broken clouds
330,Verkhoyansk,RU,67.5447,133.385,-15.3,85,0,1.68,clear sky
331,Salinas,US,36.6777,-121.6555,57.2,72,75,9.22,broken clouds
332,Faya,SA,18.3851,42.4509,57.2,66,0,2.71,clear sky
333,Bantry,IE,51.6833,-9.45,41.0,87,90,33.38,moderate rain
334,Namatanai,PG,-3.6667,152.4333,85.84,66,61,5.59,light rain
335,Astana,KZ,51.1801,71.446,21.2,86,90,8.95,overcast clouds
336,Maniitsoq,GL,65.4167,-52.9,14.76,88,36,9.73,scattered clouds
337,Charters Towers,AU,-20.1,146.2667,83.82,53,44,7.23,scattered clouds
338,Murayama,JP,38.5193,140.3346,23.0,100,75,2.3,fog
339,Tyristrand,NO,60.0837,10.0966,12.99,85,0,2.84,clear sky
340,Souillac,MU,-20.5167,57.5167,77.0,88,40,10.36,light rain
341,Altus,US,34.6381,-99.334,19.4,63,90,14.97,overcast clouds
342,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,0,9.22,clear sky
343,Leopold,AU,-38.1833,144.4667,66.2,72,90,9.22,overcast clouds
344,Dubbo,AU,-32.25,148.6167,71.6,94,90,8.05,overcast clouds
345,Santo Estevao,BR,-12.4303,-39.2514,72.07,86,0,5.08,clear sky
346,Beringovskiy,RU,63.05,179.3167,-12.3,88,100,28.41,light snow
347,Port Hedland,AU,-20.3167,118.5667,84.2,70,90,5.75,overcast clouds
